Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1501306961,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-114.08,0,3.46,2.94,2.81,-23380,-16870,-33950,-0.855712890625,0.51605224609375,-0.0374755859375,0,0.56,0,4,3,4,58,97,104,-15640,13590,10958,
1501306962,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-113.73,0,3.39,3.01,2.85,-23130,-16860,-34210,-0.857269287109375,0.513458251953125,-0.037445068359375,0,0.56,0,4,3,4,58,97,104,-15753,13486,10954,
1501306963,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-113.4,0,3.35,3.08,2.89,-22870,-16820,-34370,-0.859130859375,0.510162353515625,-0.03973388671875,0,0.56,0,4,3,4,57,97,105,-15815,13379,10941,
1501306964,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-113.05,0,3.29,3.16,2.91,-22620,-16770,-34600,-0.86163330078125,0.50592041015625,-0.039764404296875,0,0.57,0,4,3,4,57,97,105,-15915,13275,10918,
1501306965,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-112.73,0,3.22,3.22,2.94,-22410,-16660,-34800,-0.8631591796875,0.503326416015625,-0.03973388671875,0,0.57,0,4,3,4,57,97,105,-15998,13186,10868,
1501306966,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-112.37,0,3.11,3.29,2.94,-22170,-16460,-35080,-0.865631103515625,0.499053955078125,-0.03973388671875,0,0.57,0,4,3,4,56,98,105,-16113,13088,10778,
1501306967,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-112.02,0,3.02,3.35,2.92,-21940,-16280,-35340,-0.8665771484375,0.497406005859375,-0.039764404296875,0,0.57,0,4,3,4,56,98,105,-16218,12993,10697,
1501306968,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-111.73,0,2.84,3.41,2.9,-21940,-15980,-35850,-0.868072509765625,0.494781494140625,-0.03973388671875,0,0.56,0,4,3,4,56,98,105,-16440,13001,10563,
1501306969,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-111.36,0,2.79,3.46,2.85,-21530,-15760,-35900,-0.8690185546875,0.49310302734375,-0.039794921875,0,0.56,0,4,3,4,55,98,105,-16451,12821,10457,
1501306970,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-111.05,0,2.63,3.5,2.79,-21350,-15410,-36170,-0.870513916015625,0.490478515625,-0.039764404296875,0,0.55,0,4,3,4,55,98,105,-16558,12747,10296,
